TASK,TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
ENC,110,4000,3,2,OBJ,ERP,2,0,stimuli/fractals/127a.jpg,0.286744142036231,-0.0880450316805843,stimuli/fractals/127a.jpg,stimuli/fractals/127c.jpg,stimuli/fractals/127b.jpg,0.286744142036231,-0.0880450316805843,0.330482741917614,0.340851044527865,-0.057349919067839,-0.0128189226211625,-0.240292993457272,0.136621001894395
ENC,111,500,3,2,OBJ,ERP,2,0,stimuli/fractals/140a.jpg,-0.0590803217934772,0.198932296463151,stimuli/fractals/140a.jpg,stimuli/fractals/140c.jpg,stimuli/fractals/140b.jpg,-0.0590803217934772,0.198932296463151,-0.218697986090448,-0.368030079931135,0.0528699917222707,-0.265139628750961,0.29770784715545,-0.387301513768485
ENC,112,1000,3,2,OBJ,OLP,2,0,stimuli/fractals/169a.jpg,0.0828098542273761,0.077134797099127,stimuli/fractals/169c.jpg,stimuli/fractals/169a.jpg,stimuli/fractals/169b.jpg,0.0828098542273761,0.077134797099127,0.148886765026426,-0.284352399445489,0.369855542017295,0.0937764524241605,-0.385945034630815,-0.305584992223669
ENC,113,6000,3,2,OBJ,OLP,2,0,stimuli/fractals/158a.jpg,-0.133520880177419,-0.118640966630972,stimuli/fractals/158b.jpg,stimuli/fractals/158a.jpg,stimuli/fractals/158c.jpg,-0.133520880177419,-0.118640966630972,-0.289097513057508,0.238590156660948,-0.365564959543015,-0.138133206270189,0.317796351348182,0.148977352551008
ENC,114,6000,3,2,OBJ,OLP,1,1,stimuli/fractals/151b.jpg,0.030854897978605,-0.0898572332381314,stimuli/fractals/151b.jpg,stimuli/fractals/151c.jpg,stimuli/fractals/151a.jpg,0.030854897978605,-0.0898572332381314,0.241126845944056,0.131463807539371,0.353611823516222,0.129879363989893,-0.3663110157061,0.369898103420555
ENC,115,6000,3,2,OBJ,OLP,1,3,stimuli/fractals/118c.jpg,0.178836786228495,0.0414278563175496,stimuli/fractals/118c.jpg,stimuli/fractals/118a.jpg,stimuli/fractals/118b.jpg,0.178836786228495,0.0414278563175496,0.39029731697365,-0.108629693014275,-0.103234156401354,0.314766173627131,-0.342832937290216,-0.23398971658472
ENC,116,1000,3,2,OBJ,OLP,2,0,stimuli/fractals/151c.jpg,0.030854897978605,-0.0898572332381314,stimuli/fractals/151b.jpg,stimuli/fractals/151c.jpg,stimuli/fractals/151a.jpg,0.030854897978605,-0.0898572332381314,0.241126845944056,0.131463807539371,0.353611823516222,0.129879363989893,-0.3663110157061,0.369898103420555
ENC,117,3000,3,2,OBJ,ERP,1,4,stimuli/fractals/126a.jpg,-0.102521489579154,0.161945508863461,stimuli/fractals/126a.jpg,stimuli/fractals/126c.jpg,stimuli/fractals/126b.jpg,-0.102521489579154,0.161945508863461,-0.354434847473417,0.359961730363472,0.00627417093020816,-0.367056365939855,0.325846603778229,-0.345217736775988
ENC,118,2000,3,2,OBJ,OLP,1,5,stimuli/fractals/57b.jpg,-0.028136778901196,0.152788979881581,stimuli/fractals/57b.jpg,stimuli/fractals/57c.jpg,stimuli/fractals/57a.jpg,-0.028136778901196,0.152788979881581,-0.308555512214184,0.0136051440964761,-0.104165938782228,-0.211419295032802,0.378131469087358,-0.302524626490787
ENC,119,6000,3,2,OBJ,OLP,2,0,stimuli/fractals/118a.jpg,0.178836786228495,0.0414278563175496,stimuli/fractals/118c.jpg,stimuli/fractals/118a.jpg,stimuli/fractals/118b.jpg,0.178836786228495,0.0414278563175496,0.39029731697365,-0.108629693014275,-0.103234156401354,0.314766173627131,-0.342832937290216,-0.23398971658472
